geoshape_city_id,名称,郡,出典
09201A1968,宇都宮市,,町村合併促進法公布時 (1953)
09202A1968,足利市,,町村合併促進法公布時 (1953)
09203A1968,栃木市,,町村合併促進法公布時 (1953)
09204A1968,佐野市,,町村合併促進法公布時 (1953)
09205A1968,鹿沼市,,町村合併促進法公布時 (1953)
09301A1968,上三川町,河内郡,町村合併促進法公布時 (1953)
09321A1968,西方村,上都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09322A1968,粟野町,上都賀郡,町村合併促進法公布時 (1953)
09323A1968,足尾村/足尾町,安蘇郡/上都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09342A1968,益子町,芳賀郡,町村合併促進法公布時 (1953)
09343A1968,茂木町,芳賀郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09361A1968,壬生町,下都賀郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09362A1968,石橋町,下都賀郡,町村合併促進法公布時 (1953)
09366A1968,藤岡町,下都賀郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09381A1968,塩原町,塩谷郡,町村合併促進法公布時 (1953)
09382A1968,栗山村,塩谷郡,慶安郷帳 (1648) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09383A1968,藤原町,塩谷郡,町村合併促進法公布時 (1953)
09385A1968,氏家村/氏家宿/氏家町,塩谷郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09387A1968,喜連川町,塩谷郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09402A1968,烏山町,那須郡,明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09403A1968,馬頭町,那須郡,町村合併促進法公布時 (1953)
09404A1968,小川町,那須郡,町村合併促進法公布時 (1953)
09405A1968,湯津上村,那須郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09406A1968,黒羽町,那須郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09408A1968,黒磯町,那須郡,町村合併促進法公布時 (1953)
09409A1968,西那須野町,那須郡,町村合併促進法公布時 (1953)
09421A1968,田沼村/田沼宿/田沼町,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09422A1968,葛生町,安蘇郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0020001,界村,安蘇郡,市町村制施行時 (1889)
09B0020002,旗川村,安蘇郡,市町村制施行時 (1889)
09B0020003,犬臥町/犬臥村/犬伏宿/犬伏町,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0020004,佐野町,安蘇郡,明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0020005,三好村,安蘇郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0020006,常盤村,安蘇郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0020007,植野村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0020008,新合村,安蘇郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0020009,赤見村,安蘇郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889)
09B0020011,飛駒村,安蘇郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0020012,氷室村,安蘇郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
