カテゴリ: インターネット、通信事業

月,サーバ: (すべての国),サーバー: (すべての国)
2006-05,75,80
2006-06,90,75
2006-07,89,100
2006-08,67,81
2006-09,68,92
2006-10,74,77
2006-11,67,81
2006-12,69,77
2007-01,55,64
2007-02,68,69
2007-03,61,76
2007-04,75,65
2007-05,69,75
2007-06,78,83
2007-07,66,82
2007-08,57,64
2007-09,61,68
2007-10,63,66
2007-11,62,66
2007-12,59,61
2008-01,54,58
2008-02,53,75
2008-03,54,81
2008-04,63,91
2008-05,50,83
2008-06,63,83
2008-07,58,63
2008-08,58,62
2008-09,49,61
2008-10,52,59
2008-11,47,60
2008-12,44,57
2009-01,44,57
2009-02,46,60
2009-03,46,54
2009-04,44,62
2009-05,43,56
2009-06,49,61
2009-07,50,60
2009-08,44,51
2009-09,45,61
2009-10,42,51
2009-11,40,54
2009-12,41,57
2010-01,39,59
2010-02,41,51
2010-03,39,54
2010-04,46,60
2010-05,43,50
2010-06,39,57
2010-07,40,54
2010-08,35,46
2010-09,39,46
2010-10,37,50
2010-11,34,47
2010-12,35,51
2011-01,33,45
2011-02,34,47
2011-03,32,45
2011-04,35,49
2011-05,27,44
2011-06,34,53
2011-07,31,46
2011-08,29,45
2011-09,32,44
2011-10,30,45
2011-11,29,48
2011-12,27,48
2012-01,24,49
2012-02,30,50
2012-03,27,49
2012-04,27,48
2012-05,27,44
2012-06,40,52
2012-07,30,48
2012-08,26,47
2012-09,23,43
2012-10,25,41
2012-11,25,44
2012-12,22,39
2013-01,21,43
2013-02,19,41
2013-03,24,45
2013-04,23,52
2013-05,21,43
2013-06,23,44
2013-07,22,45
2013-08,21,42
2013-09,21,48
2013-10,21,44
2013-11,20,41
2013-12,21,42
2014-01,21,41
2014-02,20,46
2014-03,20,48
2014-04,23,51
2014-05,20,45
2014-06,21,42
2014-07,20,45
2014-08,16,40
2014-09,18,40
2014-10,19,50
2014-11,18,38
2014-12,17,45
2015-01,17,39
2015-02,19,40
2015-03,19,43
2015-04,19,43
2015-05,16,38
2015-06,19,40
2015-07,17,46
2015-08,15,40
2015-09,16,42
2015-10,15,42
2015-11,15,42
2015-12,17,46
2016-01,16,45
2016-02,17,51
2016-03,17,50
2016-04,17,48
2016-05,16,48
2016-06,18,51
2016-07,18,39
2016-08,14,38
2016-09,15,39
2016-10,17,43
2016-11,15,41
2016-12,15,41
2017-01,16,42
2017-02,18,41
2017-03,16,47
2017-04,17,45
2017-05,15,44
2017-06,16,48
2017-07,15,42
2017-08,16,43
2017-09,16,41
2017-10,15,41
2017-11,16,42
2017-12,14,41
2018-01,13,41
2018-02,15,40
2018-03,14,43
2018-04,14,39
2018-05,13,42
2018-06,13,42
2018-07,18,43
2018-08,13,41
2018-09,13,37
2018-10,15,40
2018-11,13,35
2018-12,13,38
2019-01,11,35
2019-02,13,40
2019-03,13,39
2019-04,14,37
2019-05,13,35
2019-06,12,42
2019-07,12,37
2019-08,11,36
2019-09,13,39
2019-10,13,38
2019-11,13,38
2019-12,12,38
2020-01,12,37
2020-02,12,38
2020-03,12,43
2020-04,13,49
2020-05,12,52
2020-06,14,47
2020-07,12,53
2020-08,10,41
2020-09,12,40
2020-10,12,37
2020-11,8,36
2020-12,9,40
2021-01,9,42
2021-02,11,40
2021-03,10,41
2021-04,9,40
2021-05,9,39
2021-06,11,39
2021-07,9,38
2021-08,8,36
2021-09,10,39
2021-10,9,36
2021-11,10,33
2021-12,10,38
2022-01,9,40
2022-02,10,46
2022-03,10,46
2022-04,11,46
2022-05,8,40
2022-06,11,51
2022-07,9,43
2022-08,9,42
2022-09,9,44
2022-10,8,40
2022-11,8,40
2022-12,8,41
2023-01,7,40
2023-02,10,44
2023-03,8,45
2023-04,10,49
2023-05,8,40
